lon,lat,year,cpue
137,34,1991,116
147,36,1991,132
152,40,1991,94
153,26,1991,283
145,32,1991,200
150,42,1991,0
140,34,1991,24
141,43,1991,0
151,36,1991,157
143,32,1991,35
149,34,1991,206
147,34,1991,156
149,32,1991,378
148,36,1991,72
151,35,1991,119
145,30,1991,195
143,38,1991,78
148,33,1991,196
153,41,1991,48
153,39,1991,128
147,30,1991,242
146,30,1991,312
150,40,1991,40
146,33,1991,173
146,37,1991,35
140,33,1991,58
141,31,1991,146
152,34,1991,187
139,27,1991,6
153,35,1991,75
149,35,1991,244
148,37,1991,193
149,34,1991,155
150,38,1991,101
147,39,1991,19
154,33,1991,376
148,34,1991,267
147,34,1991,280
152,27,1991,303
144,37,1991,129
140,31,1991,9
148,34,1991,133
143,39,1991,53
153,33,1991,263
145,39,1991,0
142,35,1991,99
148,40,1991,32
147,32,1991,244
152,41,1991,5
145,36,1991,99
146,34,1991,219
152,36,1991,235
147,35,1991,123
152,32,1991,305
144,33,1991,130
148,41,1991,37
150,35,1991,252
143,29,1991,300
146,33,1991,217
153,26,1991,265
145,31,1991,163
142,32,1991,20
146,38,1991,0
144,30,1991,200
145,32,1991,296
146,40,1991,28
145,29,1991,121
141,31,1991,85
147,31,1991,338
138,41,1991,0
147,34,1991,198
148,42,1991,9
141,36,1991,4
147,34,1991,254
148,38,1991,141
144,33,1991,86
147,36,1991,102
144,40,1991,0
152,24,1991,228
150,44,1991,5
150,30,1991,405
139,28,1991,4
150,32,1991,308
149,32,1991,392
145,29,1991,75
146,42,1991,31
146,32,1991,289
151,28,1991,234
145,40,1991,14
148,32,1991,185
144,33,1991,57
149,30,1991,360
146,39,1991,35
148,39,1991,268
149,28,1991,166
149,37,1991,101
144,33,1991,49
150,34,1991,162
142,35,1991,10
147,32,1991,224
149,40,1991,17
143,32,1991,43
141,34,1991,33
146,37,1991,48
147,36,1991,79
148,36,1991,68
143,28,1991,142
147,33,1991,185
144,41,1991,2
147,41,1991,19
147,36,1991,87
150,37,1991,213
151,26,1991,371
151,36,1991,156
146,35,1991,154
143,40,1991,7
138,39,1991,19
149,36,1991,88
152,31,1991,349
147,38,1991,12
142,34,1991,11
145,31,1991,267
149,40,1991,63
150,36,1991,194
151,37,1991,156
154,39,1991,104
148,39,1991,107
154,42,1991,6
147,40,1991,63
150,37,1991,98
148,34,1991,174
141,34,1991,2
145,32,1991,198
150,33,1991,366
146,34,1991,165
152,35,1991,197
147,31,1991,237
157,34,1991,234
143,30,1991,87
151,42,1991,26
147,37,1991,59
145,38,1991,16
151,35,1991,270
148,32,1991,144
146,33,1991,130
147,32,1991,207
143,35,1991,62
145,30,1991,429
155,29,1991,336
152,30,1991,251
153,29,1991,408
145,32,1991,180
148,38,1991,158
149,31,1991,585
144,30,1991,129
147,32,1991,119
138,33,1991,112
160,36,1991,200
147,38,1991,22
145,37,1991,2
146,32,1991,212
146,33,1991,218
149,34,1991,369
140,34,1991,61
155,30,1991,168
152,38,1991,168
140,33,1991,42
149,33,1991,116
146,35,1991,50
147,35,1991,56
149,36,1991,122
146,30,1991,245
143,36,1991,104
149,33,1991,312
147,34,1991,134
139,38,1991,14
151,38,1991,67
144,29,1991,136
146,35,1991,71
148,31,1991,369
146,36,1991,134
145,26,1991,176
158,40,1991,38
146,32,1991,295
151,35,1991,103
152,39,1991,91
146,29,1991,283
146,32,1991,237
147,32,1991,264
152,35,1991,221
141,37,1991,13
147,37,1991,65
149,33,1991,819
155,42,1991,25
146,34,1991,272
149,36,1991,123
145,35,1991,121
145,35,1991,65
149,39,1991,88
151,34,1991,361
148,36,1991,125
155,37,1991,178
148,34,1991,189
144,34,1991,102
141,28,1991,97
145,35,1991,79
147,39,1991,89
145,28,1991,179
142,34,1991,40
146,34,1991,155
143,34,1991,66
149,33,1991,288
150,34,1991,288
150,34,1991,341
138,33,1991,98
144,33,1991,80
149,40,1991,32
153,43,1991,75
151,33,1991,284
152,37,1991,250
141,39,1991,0
146,40,1991,22
147,35,1991,61
144,39,1991,4
142,30,1991,128
145,32,1991,245
144,34,1991,65
145,35,1991,87
147,28,1991,184
137,37,1991,52
143,29,1991,279
141,37,1991,15
145,38,1991,82
141,34,1991,41
147,28,1991,250
143,34,1991,89
143,37,1991,55
138,37,1991,15
150,44,1991,6
142,36,1991,42
144,34,1991,66
144,39,1991,4
144,36,1991,77
147,44,1991,13
142,33,1991,39
149,35,1991,123
144,36,1991,169
154,40,1991,15
148,37,1991,265
151,34,1991,265
152,28,1991,362
148,39,1991,87
145,32,1991,191
147,34,1991,162
145,32,1991,125
142,25,1991,64
155,34,1991,434
149,33,1991,222
147,42,1991,20
156,40,1991,100
142,36,1991,29
148,28,1991,319
149,29,1991,198
140,38,1991,68
143,38,1991,49
143,42,1991,0
152,29,1991,359
146,35,1991,66
153,35,1991,278
143,36,1991,88
145,30,1991,212
153,27,1991,350
146,37,1991,8
153,34,1991,435
147,35,1991,65
146,36,1991,91
144,43,1991,2
150,29,1991,263
144,31,1991,57
153,26,1991,354
146,34,1991,211
143,26,1991,140
152,34,1991,151
145,30,1991,90
155,34,1991,269
145,36,1991,104
147,33,1991,204
147,35,1991,106
144,34,1991,104
146,36,1991,74
148,37,1991,191
147,35,1991,96
144,30,1991,110
153,31,1991,324
149,33,1991,160
152,41,1991,13
147,30,1991,226
142,29,1991,147
150,36,1991,118
147,38,1991,56
147,37,1991,138
143,38,1991,53
146,43,1991,19
144,26,1991,106
143,37,1991,199
150,33,1991,239
145,34,1991,73
143,30,1991,43
146,35,1991,136
143,38,1991,65
146,30,1991,227
148,35,1991,151
147,41,1991,10
148,31,1991,281
146,30,1991,307
148,32,1991,217
142,35,1991,18
146,33,1991,166
148,31,1991,323
149,32,1991,327
142,33,1991,39
144,39,1991,11
151,40,1991,44
149,39,1991,83
147,35,1991,81
146,34,1991,139
145,36,1991,133
146,34,1991,253
151,25,1991,178
150,34,1991,287
145,40,1991,37
146,30,1991,300
141,38,1991,80
142,34,1991,4
146,33,1991,222
149,34,1991,221
154,34,1991,231
147,37,1991,36
147,33,1991,160
143,37,1991,46
144,35,1991,86
149,33,1991,244
154,33,1991,484
144,40,1991,5
145,39,1991,8
142,35,1991,57
141,38,1991,19
149,35,1991,303
148,34,1991,157
152,39,1991,49
146,31,1991,138
145,41,1991,32
148,35,1991,127
152,32,1991,362
147,37,1991,45
148,34,1991,242
151,41,1991,1
141,42,1991,34
145,32,1991,159
147,34,1991,65
147,32,1991,292
145,32,1991,282
149,41,1991,48
149,31,1991,616
144,32,1991,153
153,37,1991,113
147,33,1991,75
150,36,1991,110
149,38,1991,76
144,30,1991,211
139,40,1991,20
147,32,1991,335
151,32,1991,289
146,38,1991,46
144,36,1991,139
150,29,1991,500
153,42,1991,96
144,34,1991,74
143,30,1991,147
147,34,1991,207
144,40,1991,0
150,31,1991,226
150,40,1991,47
137,29,1991,65
156,33,1991,263
141,34,1991,93
149,34,1991,231
149,35,1991,176
141,36,1991,0
150,41,1991,3
144,40,1991,0
150,33,1991,150
152,33,1991,225
145,34,1991,67
152,35,1991,155
143,27,1991,20
144,25,1991,132
144,29,1991,271
144,33,1991,84
149,27,1991,345
143,37,1991,51
147,29,1991,366
151,30,1991,408
144,34,1991,50
151,39,1991,28
148,39,1991,35
143,33,1991,56
153,29,1991,413
144,25,1991,155
142,34,1991,36
148,33,1991,96
140,33,1991,68
148,34,1991,226
144,39,1991,8
145,36,1991,60
151,30,1991,375
145,36,1991,43
144,38,1991,107
146,30,1991,309
154,41,1991,30
150,36,1991,233
152,42,1991,8
145,34,1991,28
147,38,1991,71
144,34,1991,196
147,33,1991,91
149,34,1991,401
146,39,1991,113
151,32,1991,220
146,38,1991,0
151,39,1991,30
144,32,1991,122
140,37,1991,35
153,41,1991,16
143,29,1991,454
144,31,1991,221
150,36,1991,142
146,31,1991,251
147,33,1991,211
146,37,1991,96
144,35,1991,69
